date_collected,product_itemid,shopid,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,product_total_rating,stock,units_sold,shop_location
6/28/2021,2008402459,35902344,[8 Colors] Top Quality Korean Style Stripe Polo for Men Premium Cotton Fits Plus Size,350,159,199,55,No Brand,1631,2276,2340,4.83,590,5569,"Pasay City, Metro Manila"
6/28/2021,7448072094,280871312,【Plus Size]M-2XL Ripped short-sleeved t-shirt men's summer trend Korean version of Loose Tshirt mens Simple wild five-point sleeve Top Tee Fer Men Soft Comfortable Couple tshirt,470,309,309,34,No Brand,41,6,964,5,7961,19,Mainland China
6/28/2021,7744237406,280871312,Harajuku style loose t-shirt men's Korean hip-hop personality printed tshirt men summer casual o neck loose half-sleeved tops tee for men,298,219,219,27,No Brand,36,9,105,4.11,7966,26,Mainland China
6/28/2021,5140409091,1083822,NKD High Quality Rae Tie Crop Top 1134,180,55,55,69,No Brand,3053,3626,7410,4.88,15617,11800,"Taytay, Rizal"
6/28/2021,7156737119,128494608,NEW TOPS KOREAN FASHION T-SHIRT FOR MEN,199,68,68,66,No Brand,1,17,22,5,9950,50,"Pasay City, Metro Manila"
6/28/2021,8850252572,432495624,OUE [M-5XL] Trendy brand short-sleeved T-shirt round neck INS trend printing short-sleeved oversized Korean couple casual T-shirt drop shoulder top,782,274,274,65,No Brand,36,6,725,4.33,1472,17,Mainland China
6/28/2021,4065474863,35902344,Top Quality Printed Polo for Men Hawaiian Print Cotton Fits Plus Size Korean Fashion,500,199,199,60,No Brand,26,37,255,4.78,290,78,"Pasay City, Metro Manila"
6/28/2021,5191200825,455548857,【3 Colors】M-3XL Oversized Tshirt Couple Shirts Korean Tops Summer Short-sleeved T-shirt Male Loose Round-collar Graffiti Printed T-shirt Trend Ins Casual Short-sleeved Student T-shirt,462,231,231,50,No Brand,0,0,253,0,14984,0,Mainland China
6/28/2021,9861606973,314266101,【Plus Size】M-8XL Bear Printing Short-sleeved Men's Summer New Personality Hip-hop T-shirt Loose Casual O Neck Couple Tops Korean Style All-match Tee for Men,438,219,259,50,No Brand,2,2,76,5,39956,3,Mainland China
6/28/2021,9323500794,156756973,Summer Men's Top Moon Print T-shirt Korean version of the trend Short Sleeve Unsex Tees Oversized Round Neck Tops Loose and casual T-shirt,330,199,199,40,No Brand,23,9,285,4.56,19961,19,Mainland China
6/28/2021,4959181002,283754579,Korean Version of Loose Long Sleeve Couple Round Neck Cotton Long White Tees Fashion Trend Gradient Autumn New Tops for Men and Women Selling Ins Style Young Students Wear,482,389,389,19,No Brand,16,7,34,4.14,9972,17,Mainland China
6/28/2021,6880881698,371422543,MOLLGE Oversize Short-sleeved T-shirt Male Loose Couple Tshirt Korean Style Top,496,248,248,50,No Brand,61,53,2194,4.36,13751,211,Mainland China
6/28/2021,6150377390,302250255,Men Shirts Tops Simple Leisure All-match Chic Korean Thin Breathable Chothes New Shirt For Men Loose Sunshade Shirt Male Jacket,382,259,269,32,No Brand,66,16,153,4.44,4984,33,Mainland China
6/28/2021,3600189156,69635896,Korean fashion unisex tops/round neck/cotton/summer shirts/glow in dark,199,78,78,61,No Brand,189,78,335,4.19,5968,343,"Pasay City, Metro Manila"
6/28/2021,4134140322,262503614,INS fashion printing Loose Men short sleeve tshirt fashion tshirt Top/ M-3XL Oversize/Couple/Plus Size/Unisex Tee/Man Korean Style Casual Tops Vintage Graphic Tees Statement Printed Clothing Crewneck Trendy Black White Clothes Sale,360,198,229,45,No Brand,5210,602,9932,4.72,1975,1482,Mainland China
6/28/2021,11806990350,443928985,Crop top  Women's Chiffon Shirt Summer New Korean Style Sweet Floral Flared Sleeve Tops,374,300,300,20,No Brand,2,0,186,0,1600,0,Mainland China
6/28/2021,7140107193,237008067,【COD】S-2XL Tie-dye Korean Men's tees mens tops couple t shirts round neck short sleeve black white T-shirt for men and womem,419,259,288,38,No Brand,538,129,263,4.38,4972,323,Mainland China
6/28/2021,4158778072,311167337,【2 Color】Long Sleeve Hong Kong Style Classic Top Japanese Trend Men's Korean Loose Couples Student Casual Shirt for Men,758,341,341,55,No Brand,108,18,452,4.72,7956,33,Mainland China
6/28/2021,7877521730,371422543,MOLLGE Statement Pikachu Summer Short Sleeve T-shirt Men's Korean Fashion Top Tshirt For Men,496,248,248,50,No Brand,15,10,366,4.3,7970,29,Mainland China
6/28/2021,4036052741,266644184,【COD】Latest Summer T-shirt High-quality Korean Fashion Short-sleeved Top Couple Style Cotton Landscape Printing Round Neck Tee Men and Women 3 Colors M-2XL,285,255,255,11,No Brand,2242,1402,6070,4.76,9199,4015,Mainland China
6/28/2021,3216471368,62404318,LUCKY #T078 Men's tops Bestseller t-shirt For men Unisex Glow In the Dark Korean Fashion,144,59,65,59,No Brand,20762,9116,24912,4.54,11296,49675,"Navotas City, Metro Manila"
6/28/2021,7681908519,302250255,【NEW】Summer bear print korean top short sleeve tshirts for men trend loose oversized tshirt half sleeve top couple shirt clothing,323,236,236,27,No Brand,11,1,119,5,9985,3,Mainland China
6/28/2021,4559422710,36754442,kathryn PLUS SIZE Two way Puff shoulder Top fits 2XL 31010#,250,75,85,70,No Brand,4082,3631,86227,4.69,5287,10227,"Taytay, Rizal"
6/28/2021,7157682905,47114599,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199,74,74,63,No Brand,22,131,131,4.82,287,305,"Valenzuela City, Metro Manila"
6/28/2021,2354629922,35369989,ICM #T187-4 Best Selling Fashionable Korean Trend Tshirt Top for Men,250,62,62,75,No Brand,5,22,76,4.59,922,64,"Navotas City, Metro Manila"
6/28/2021,9726372081,371422543,MOLLGE Oversized Summer 2021 New Fashion Brand Trend Ins Short Sleeve T-shirt Mens Loose Top Korean Tshirt For Men Statement Shirt,558,279,279,50,No Brand,55,17,3873,4.35,9876,75,Mainland China
6/28/2021,10412042581,468959708,Korean New Style Doll Collar Flying Sleeve Design Shirt Women,626,313,313,50,No Brand,24,1,192,5,1998,1,"Sampaloc, Metro Manila"
6/28/2021,6665950787,75150237,Men's  long-sleeved sweater plus cashmere Korean trend top,380,248,248,35,No Brand,12,5,72,5,91,7,"Pasay City, Metro Manila"
6/28/2021,3358926895,161746899,【One Piece】Oversized One Piece Luffy Anime Basic Print T Shirt Short Sleeve Mens 2020 Funny Fashion Korean Plus Size Clothes Summer Anime One Piece Luffy T Shirt Cotton High Quality Male T-shirt Casual Loose Fit Top Tees for Men【M-3XL】,313,220,220,30,No Brand,6,6,94,4.17,34945,16,Mainland China
6/28/2021,6613679477,35902344,Premium Quality Polo for Men Stripes Turn Down Collar Cotton 4 Colors Size S to XL Korean #9848,580,180,260,69,No Brand,4515,3848,29923,4.9,1180,9280,"Pasay City, Metro Manila"
6/28/2021,9067948595,468959708,Korean Doll Collar Puff Sleeve Blouse Loose Chiffon Shirt Women,551,276,276,50,No Brand,32,1,594,5,2997,1,"Sampaloc, Metro Manila"
6/28/2021,6034349004,237008067,Summer European and American leisure 5-point sleeve men's student loose T-shirt fashion trend Korean half sleeve top letter printed color contrast T-shirt,299,249,249,17,No Brand,641,259,501,4.71,972,635,Mainland China
6/28/2021,6610900015,97083327,Mens Korean Fashion Printing Graphic Singlets Cotton Round Neck gym apparel tops tank Stringers,445,214,214,52,No Brand,10,30,87,4.9,19931,65,Mainland China
6/28/2021,8653588905,314266101,【Plus Size】M-5XL 6XL 7XL 8XL Men's Little Devil Printing Short-sleeved Summer Korean Style Hiphop Loose Casual O Neck Male Tops Couple Harajuku Trend Tee for Men,312,219,269,30,No Brand,3,3,120,4.33,49945,4,Mainland China
6/28/2021,6789157954,403612075,Long-sleeved Shirt Men's Black Korean Fashion Casual Shirt All-match Loose White Shirt Top,677,348,348,49,No Brand,11,1,512,3,7997,1,Mainland China
6/28/2021,7454837810,315439847,COD M-5XL Japanese Vintage Graphic Short-sleeved Men T-shirt Loose Trend Hip-hop Round Neck T-shirt Men Clothes Korean Tops Tshirts For Men Oversized Tshirt,558,248,248,56,No Brand,5945,1511,41557,4.42,6312,4782,Mainland China
6/28/2021,3976043183,47114599,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,399,72,72,82,No Brand,13,93,301,4.84,1706,234,"Valenzuela City, Metro Manila"
6/28/2021,1005173044,35369989,ICM #T078 Men's T- shirt tops/bestseller Dark In The Glow Korean Fashion cotton,144,62,62,57,No Brand,2155,2870,10229,4.5,18498,13779,"Navotas City, Metro Manila"
6/28/2021,5201115886,41311013,Sheena Ruffles Strap Crop Top,,65,65,0,No Brand,2768,2652,7417,4.56,50762,7128,"Pasig City, Metro Manila"
